 rahogI	 raha
 mileMgI	 mila
 karawIM	 kara
 samete	 sameta
 DAMpakara	 DAMpa
 pItawA	 pIta
 kahA - ye	 kahA - yaha
 XAݡA	 XA
 PAda	 PAda
 Pode	 Poda
 ukasAwe	 ukasA
 bETAnA	 bETA
 huA - Apa	 ho - Apa
 nocaKasota	 nocaKasota
 gaDZane	 gaDZa
 hajZarawa	 hajZarawa
 Gula	 Gula
 pUCA - arjI	 pUCa - arjI
 lAveM	 lAva
 ukasAyA	 ukasA
 nikalakara	 nikala
 bolA - yAro	 bolA - yAro
 kahalAe	 kahalA
 wodZegI	 wodZa
 AI - hamArA	 A - mEM
 pasIjA	 pasIja
 cimatakara	 cimata
 Pera	 Pera
 modZa	 modZa
 bETAeM	 bETA
 bIwe	 bIwA
 bIwI	 bIwa
 hatAyA	 hatA
 akadZe	 akadZA
 PUtI	 PUtA
 baMXAne	 baMXA
 piyA	 piyA
 sazBAlanA	 sazBAla
 paDZane - liKane	 paDZa - liKa
 nigalane	 nigala
 sakI - muJe	 saka - mEM
 lotawe	 lota
 raKUzgI	 raKa
 rukeMge	 ruka
 wadZapA	 wadZapA
 GUmoge	 GUma
 baDZI	 baDZa
 sulAkara	 sulA
 sazvara	 sazvara
 ragadZa - ragadZakara	 ragadZa - ragadZa
 jieMge	 jI
 mAgazgI	 mAgazgI
 GatAne	 GatAnA
 cipatA	 cipatA
 KadZakawA	 KadZaka
 jilAwA	 jilA
 kahA - hameM	 kahA - mEM
 bawAUMgI	 bawA
 caDZanI	 caDZa
 CupAkara	 CupA
 tAlawA	 tAla
 girawe - padZawe	 gira - padZa
 GabarAI	 GabarA
 gayA - miyAzjI	 jA - miyAzjI
 GabarAe	 GabarA
 hogA - vahAz	 ho - vahAz
 pahanakara	 pahana
 xiyA - yahAM	 xiyA - yahAM
 uTAI	 uTAI
 girI	 girI
 sazBalakara	 sazBala
 KilAeM	 KilA
 KilAez	 KilA
 uTAe	 uTA
 uTawI - bETawI	 uTa - bETa
 uTAo	 uTA
 bETegI	 bETa
 mArawe - mArawe	 mAra - mAra
 hila	 hila
 ulaJawI	 ulaJa
 suna - sunakara	 suna - suna
 bawAie	 bawA
 JadZa	 JadZa
 AMkA	 AMka
 tahalawA	 tahala
 sunAwA	 sunA
 pAlegI	 pAla
 gerawe	 gerawe
 sakawe - nA - nA	 sakawA - nA - nA
 lewexewe	 lewexewe
 lAye	 lA
 timatimAwA	 timatimA
 KilegI	 Kila
 lAyI	 lA
 latakA	 latakA
 kAPUraho	 kAPUraho
 pUCane - pACane	 pUCa - pACa
 padawA	 padawA
 latakara	 lata
 PadZakane	 PadZaka
 xilA	 xilA
 bolA - muJe	 bolA - mEM
 AezgI	 A
 Aezge	 A
 lAIM	 lA
 teDZI - kI - teDZI	 teDZA - kA - teDZA
 GatAvegA	 GatAvegA
 lAIba	 lAIba
 sakawe - wo	 sakawA - wo
 baKera	 baKera
 caDZAUM	 caDZA
 vagEraha	 vagEraha
 XAåye	 XA
 niBegI	 niBa
 banAegA	 banA
 Kojakara	 Koja
 KAUzgA	 KA
 inakI - sI	 yaha - sI
 samAyA	 samA
 BAzpa	 BAzpa
 siKA	 siKA
 beca	 beca
 sadZe	 sadZA
 nahA - Xokara	 nahA - Xo
 sadZI	 sadZA
 gAkara	 gA
 macegI	 maca
 nikAlawA	 nikAla
 jAna - sunakara	 jAna - suna
 pilAkara	 pilA
 CuegA	 CU
 nAyakarAma - bawA	 nAyakarAma - bawA
 kahA - yAxa	 kahA - yAxa
 mArI - mArI	 mArA - mArA
 baceMge	 baca
 bigadZIxila	 bigadZIxila
 ammAM	 ammAM
 KadAho	 KadAho
 baDZA	 baDZA
 caDZanA	 caDZa
 baxa - baxakara	 baxa - baxa
 saMBAlawA	 saMBAla
 uwArie	 uwAra
 bahakane	 bahaka
 bulAne	 bulA
 biTAkara	 biTA
 rahanI	 raha
 rahane	 raha
 DUMDUgA	 DUMDa
 kiyA - isameM	 kara - yaha
 WA - Apa	 WA - Apa
 KolUzgI	 Kola
 WA - Aha	 WA - Aha
 xiye	 xe
 jAuMgI	 jA
 bacAne	 bacA
 pAveM	 pA
 kahoge - calo	 kaha - cala
 cuBAnA	 cuBA
 sunanA	 suna
 jAnawI	 jAna
 jAnawe	 jAna
 jutAie	 jutA
 karanA - usakI	 kara - usaka
 huya	 huya
 kUdZA	 kUdZA
 gADZI	 gADZA
 badZIbadZI	 badZIbadZI
 oDZakara	 oDZa
 kAzpane	 kAzpa
 pahuzceMge	 pahuzca
 uCala - uCalakara	 uCala - uCala
 suna - suna	 suna - suna
 soUz	 so
 xiyA - mAlUma	 xiyA - mAlUma
 Tokakara	 Toka
 Awe - Awe	 A - A
 gaI - yaha	 jA - yaha
 bole - praBu	 bola - praBu
 pAlawA	 pAla
 bUJo	 bUJa
 PalanA	 PalanA
 goxane	 goxanA
 wale - xabI	 wale - xabA
 KAnA	 KAnA
 jAUzgI	 jA
 palatA	 palatA
 pitane	 pitanA
 sajAne	 sajA
 bolI - pagalA	 bolI - pagalA
 pUjane	 pUja
 sunavAwA	 sunavA
 JAMkane	 JAMka
 pahaneMgI	 pahana
 milUMgA	 mila
 CAzta - CAztakara	 CAzta - CAzta
 raKegI	 raKa
 JukAne	 JukA
 gUMjane	 gUMja
 lAxane	 lAxa
 uTeMge	 uTa
 uTeMgI	 uTa
 JukaJukakara	 JukaJukakara
 Kisakawe	 Kisaka
 KisakawI	 Kisaka
 jaMcawA	 jaMca
 bacawA	 baca
 bawalAo	 bawalA
 xOdZe	 xOdZa
 xOdZI	 xOdZa
 samaJAwe - BAI	 samaJA - BAI
 woda	 woda
 jAnawIM	 jAna
 pUCegI	 pUCa
 jyoM - kA - wyoM	 jyoM - kA - wyoM
 paDZa - paDZakara	 paDZa - paDZa
 XikkArA - mEMne	 XikkAra - mEM
 muskarAwe	 muskarAwA
 lalakArakara	 lalakAra
 xiKAyA	 xiKA
 muskarAwI	 muskarAwA
 xeKeM	 xeKa
 bolI - mAlika	 bolI - mAlika
 ginAUM	 ginA
 pUCawI - sabako	 pUCa - saba
 saMvArane	 saMvAra
 bole - iMxra	 bola - iMxra
 uwaruMgA	 uwara
 nahAne	 nahA
 bETIM	 bETa
 muraJAyA	 muraJAyA
 wulavA	 wulavA
 cewA	 cewA
 samAe	 samA
 karAo	 karA
 lalacAI	 lalacA
 xo	 xo
 soPI - BUla	 soPI - BUla
 karAe	 karA
 karAI	 karA
 kUxanA	 kUxa
 mazdarAwI	 mazdarA
 xI	 xe
 siXAra	 siXAra
 xe	 xe
 KadZe - KadZe	 KadZA - KadZA
 BAgogI	 BAga
 WA - hamArA	 WA - mEM
 ladZane	 ladZa
 bETIba	 bETIba
 GoMtUMgA	 GoMta
 kacota	 kacota
 PElane	 PEla
 jAUMgI	 jA
 sazBAlo	 sazBAla
 raKawI	 raKa
 GasItie	 GasIta
 raKawe	 raKa
 JuMJalAkara	 JuMJalA
 kI - Bagavan	 kA - Bagavan
 cakarAI	 cakarA
 rahI	 raha
 hE - hadZawAla	 hE - hadZawAla
 vAlA	 vAlA
 cakarAe	 cakarA
 gAhIM	 gAha
 jAgane	 jAga
 bakawe	 baka
 iMxu - isIlie	 iMxu - isIlie
 lage - kyA	 lagA - kyA
 bolIM - wuJe	 bola - wU
 varjiwa - se	 varjiwa - se
 uTI - mEM	 uTA - mEM
 ragadZanA	 ragadZa
 haMsane - bolane	 haMsa - bola
 becoge	 beca
 lUtegI	 lUta
 iTalAwA	 iTalA
 bulavAo	 bulavA
 padegA - wo	 padegA - wo
 hatAI	 hatA
 hatAo	 hatA
 DUzDZawe	 DUzDZa
 samAegA	 samA
 xvAra - xvAra	 xvAra - xvAra
 CUkara	 CU
 lie - xie	 lie - xe
 wAkegA	 wAka
 picake	 picakA
 sOMpA	 sOMpa
 uwareMge	 uwara
 hatAwe	 hatA
 KadZA	 KadZA
 hatAwI	 hatA
 uwareMgI	 uwara
 pahuzcAyA	 pahuzcA
 manAie	 manA
 BejUMgA	 Beja
 KadZaka	 KadZaka
 karAhUM	 karAha
 wasavIreM	 wasavIra
 marUMgI	 mara
 PazsAie	 PazsA
 sahoge	 saha
 jamawA	 jama
 bole - iMxraxawwA	 bola - iMxraxawwA
 PaMsawePaMsawe	 PaMsawePaMsawe
 PirIM	 Pira
 xabAne	 xabA
 niBAyA	 niBA
 maMgAnA - yaha	 maMgA - yaha
 lagAyI	 lagA
 wana	 wana
 ginI	 ginI
 gine	 ginA
 kahanA - sunanA	 kahanA - suna
 bawAI - Kawa	 bawA - Kawa
 GoMtane	 GoMta
 laganevAlI	 laga
 GerA - mEM	 GerA - mEM
 baKerane	 baKera
 cIrakara	 cIra
 iXarauXara	 iXarauXara
 vixesa	 vixesa
 Patane	 Pata
 marodZa	 marodZa
 jahara - sI	 jahara - sI
 roe	 ro
 dA	 dA
 bolA - BagavAn	 bolA - BagavAn
 xilAnA	 xilA
 samaJanA	 samaJa
 karAUzgI	 karA
 gaMvAnA	 gaMvA
 BUlegA	 BUla
 hoke	 ho
 bolA - rahane	 bolA - raha
 kahA - AKira	 kahA - AKira
 lUzgA	 le
 janane	 jana
 piyeMge	 pI
 jutAwe	 jutA
 bole - kahIM	 bola - kahIM
 uKadZawe	 uKadZa
 mArI - Ese - Ese	 mArA - Ese - Ese
 AyA - Ane	 AyA - AnA
 manAnA - janAnA	 manA - janAnA
 Kelie	 Kela
 calAkara	 calA
 hArane	 hAra
 lagAwI	 lagA
 nahAnA	 nahA
 kahA - mi	 kahA - mi
 uCalA	 uCalA
 hoMgI	 ho
 WIM - na	 WA - na
 hoMge	 ho
 svarNAvasara	 svarNAvasara
 samaJAUM	 samaJA
 jIwUzgA	 jIwa
 samaJAUz	 samaJA
 karAke	 karA
 paDZavA	 paDZavA
 capawiyAUz	 capawiyAUz
 bolI - bole	 bolI - bola
 GoMtA	 GoMtA
 CaMtA	 CaMtA
 dAMtakara	 dAMta
 bajAezge	 bajA
 mAMgegI	 mAMga
 cAta	 cAta
 Jelane	 Jela
 JelanI	 Jela
 nApanI	 nApa
 mAnUMba	 mAnUMba
 data	 data
 haMsawe - bolawe	 haMsa - bola
 kahA - jAwI	 kahA - jA
 caKe	 caKa
 caKI	 caKa
 virAja	 virAja
 caKo	 caKa
 dara	 dara
 lagegI	 laga
 jaMce	 jaMca
 baDZA - baDZAkara	 baDZA - baDZA
 dasa	 dasa
 roI	 ro
 wodZa - PodZakara	 wodZa - PodZa
 modZawe	 modZa
 roka	 roka
 milawejulawe	 milawejulawe
 roo	 ro
 gAne	 gAnA
 sakanA	 saka
 tokA	 tokA
 bikA	 bikA
 jakadZA	 jakadZA
 harane	 haranA
 mArane - pItane	 mAra - pIta
 kahA - uxAsa	 kahA - uxAsa
 letane	 leta
 pakadAWA	 pakadAWA
 nikalegI	 nikala
 We - isakI	 WA - yaha
 gUMWawI	 gUMWa
 howIM	 ho
 pUCA - Aja	 pUCa - Aja
 TaharIM	 Tahara
 ugalegI	 ugala
 pAke	 pA
 jamAwA	 jamA
 hicake	 hicaka
 Dakelo	 Dakela
 TTaMke	 TTaMke
 rahe - mEM	 raha - mEM
 pUCA - Apa	 pUCa - Apa
 kahA - pakadZanA	 kahA - pakadZa
 xUMq	 xUMq
 xeKaxeKakara	 xeKaxeKakara
 pukArA - sunawI	 pukAra - suna
 AI - kOna	 A - kOna
 lOte	 lOta
 silAwIM	 silA
 gaI - hameM	 jA - mEM
 JapatawA	 Japata
 lOto	 lOta
 CApA	 CApA
 kahA - xeKA	 kahA - xeKA
 xiyA - Bale	 xiyA - Bale
 liKakara	 liKa
 jalAne	 jalA
 lAeMge	 lA
 kiyA - jaba	 kara - jaba
 jIwanA	 jIwa
 kahA - EYMgarejI	 kahA - EYMgarejI
 banavAoge	 banavA
 raKanevAlA	 raKa
 xabawI	 xaba
 xabawe	 xaba
 baca	 baca
 baja	 baja
 BigoyA	 Bigo
 JiJake	 JiJaka
 bacegI	 baca
 KAnI	 KA
 baka	 baka
 caDZAnA	 caDZA
 pUCA - kyA - kyA	 pUCa - kyA - kyA
 pIseMge	 pIsa
 CapavAyA	 CapavA
 KisiyAkara	 KisiyA
 EMTa	 EMTa
 baha	 baha
 basa	 basa
 bZa	 bZa
 padie	 padie
 CAMtA	 CAMta
 TageM	 Taga
 CUwe	 CU
 bole - Gara	 bola - Gara
 racawA	 raca
 CUwI	 CU
 kUxakara	 kUxa
 kie	 kara
 carrAyA	 carrA
 jAnA	 jAna
 baGArawI	 baGAra
 kAtawe	 kAta
 sIKanA	 sIKa
 kAtawI	 kAta
 sayaMgI	 sayaMgI
 AwA - jAwA	 A - jA
 marodZakara	 marodZa
 BAgawe - BAgawe	 BAga - BAga
 kahA - wU	 kahA - wU
 samAegI	 samA
 kahA - wo	 kahA - wo
 laharAne	 laharA
 sahawI	 saha
 KAyagI	 KAyagI
 baMXAnA	 baMXA
 AyeM	 Aya
 bajAne	 bajA
 xarSAne	 xarSA
 WaraWarAne	 WaraWarA
 pUCeM	 pUCa
 pUjawe - pUjawe	 pUja - pUja
 cUsakara	 cUsa
 sunAUzgI	 sunA
 tAzka	 tAzka
 bolA - badA	 bolA - badA
 samaJAnA	 samaJA
 pUCanA	 pUCa
 BUlakara	 BUla
 mAnanI	 mAna
 mAnane	 mAna
 sahawA	 saha
 kI - na	 kA - na
 wAkanA	 wAka
 uTavAyA	 uTavA
 wErakara	 wEra
 tAlakara	 tAla
 TUzsa	 TUzsa
 bolanA	 bola
 rokeM	 roka
 cUmawA	 cUma
 rukI	 rukA
 lagawIM	 laga
 umadZA	 umadZa
 hEM - vahI	 hE - vahI
 kiyA - calakara	 kara - cala
 Xara	 Xara
 pakadZane	 pakadZa
 xabAeMge	 xabA
 curAwe	 curA
 curAwI	 curA
 bolI - Apa	 bolI - Apa
 DAzpakara	 DAzpa
 bolI - Aja	 bolI - Aja
 XowA	 Xo
 nikale	 nikala
 nikalI	 nikala
 kamAuzgI	 kamA
 gayA - xuniyA	 jA - xuniyA
 suJAyA	 suJAyA
 paDZa	 paDZa
 jalawe - jalawe	 jalawA - jalawA
 jAyegA	 jA
 mudZavAwA	 mudZavA
 KIMcakara	 KIMca
 cukI	 cuka
 cuke	 cuka
 bAzXanA	 bAzXa
 GatawA	 Gata
 hatAkara	 hatA
 CidAhuA	 CidAhuA
 bacAwe	 bacA
 bacAwI	 bacA
 kahA - kyA	 kahA - kyA
 CAMtakara	 CAMta
 baDZavA	 baDZavA
 kucala	 kucala
 muzha - xeKI	 muzha - xeKa
 bacAyA	 bacA
 ciDZAnA	 ciDZA
 jakadZakara	 jakadZa
 Patake	 Pataka
 calavAI	 calavA
 CalaCalAwI	 CalaCalA
 guxaguxAne	 guxaguxA
 paCawA	 paCawA
 saraka	 saraka
 gadZane	 gadZa
 Pala - PUla	 Pala - PUla
 sulAwA	 sulA
 pAvegA	 pAvegA
 XikkArA - kyA	 XikkAra - kyA
 kata	 kata
 kahawe - kahawe	 kaha - kaha
 nikAlie	 nikAla
 samaJogI	 samaJa
 karuM	 karuM
 CidZe	 CidZa
 kasa	 kasa
 kaha	 kaha
 kA	 kA
 ki	 ki
 kara	 kara
 Pira	 Pira
 soca - vicArakara	 soca - vicAra
 mAMjakara	 mAMja
 ujAdZanA	 ujAdZa
 paCawAoge	 paCawA
 lOtI	 lOta
 paCawAogI	 paCawA
 macAkara	 macA
 cAhawA	 cAha
 CAI	 CA
 CAe	 CA
 paDZUz	 paDZa
 dubAkara	 dubA
 sakawe - We	 sakawA - WA
 jamawI	 jama
 Gata	 Gata
 TaharUzgI	 Tahara
 mAzgegI	 mAzga
 udAyA	 udA
 pUCA - kOna	 pUCa - kOna
 CApa	 CApa
 CAna	 CAna
 xeke	 xe
 bAMXe	 bAMXa
 CodZE	 CodZE
 CodZo	 CodZa
 xie - jamAnA	 xe - jamAnA
 bolA - unhoMne	 bolA - vaha
 CodZI	 CodZa
 lageM	 laga
 dAlie	 dAla
 huI - merI	 ho - merA
 CodZe	 CodZa
 niBAe	 niBA
 niBAI	 niBA
 Bara - Barakara	 Bara - Bara
 sIMcawI	 sIMca
 pAleM	 pAla
 jZIta	 jZIta
 banavAwIM	 banavA
 Dokara	 Do
 KilaKilA	 KilaKilA
 Piro	 Piro
 Pire	 Pira
 PirI	 Pira
 wAne	 wAnA
 kahA - kaBI - kaBI	 kahA - kaBI - kaBI
 jAnanA	 jAna
 KolUM	 Kola
 mAnUMgA	 mAna
 ladZakara	 ladZa
 uTo	 uTa
 siKAegI	 siKA
 xilavAwe	 xilavA
 suXAÚre	 suXA
 baDZAUzgI	 baDZA
 kahA - barabasa	 kahA - barabasa
 bacAyA - yaha	 bacA - yaha
 lahalahAwA	 lahalahAwA
 SaramAwA	 SaramA
 baMXane	 baMXa
 lagAezge	 lagA
 lagAezgI	 lagA
 uTa - bETa	 uTa - bETa
 siKAwI	 siKA
 baDe	 baDa
 bolIM - Aja	 bola - Aja
 kiyA - jisase	 kara - jo
 wulane	 wula
 lOtakara	 lOta
 cupadZI	 cupadZA
 kahA - mEMne	 kahA - mEM
 samaJUzgA	 samaJa
 KAyazge	 KAyazge
 kiyA - kaBI	 kara - kaBI
 xabeM	 xaba
 jala - Buna	 jala - Buna
 karAheM	 karAha
 hAMga	 hAMga
 Avawa	 Avawa
 raKavAe	 raKavA
 WA - bAbUjI	 WA - bAbUjI
 banegI	 bana
 kahA - Orawa	 kahA - Orawa
 muskarAe	 muskarA
 uCAlawe	 uCAla
 muskarAI	 muskarA
 udAxI	 udAxI
 gaDZA	 gaDZA
 bajAez	 bajA
 Ave	 Ave
 ToMka	 ToMka
 pahanAwI	 pahanA
 bigadZeMge	 bigadZa
 pakadZA	 pakadZA
 banAwe - banAwe	 banA - banA
 muraJA	 muraJA
 soPI - vahI	 soPI - vahI
 BinakA	 BinakA
 alasiwa	 alasiwa
 gAegA	 gA
 kahA - kala	 kahA - kala
 ginakara	 gina
 hE - puwrI	 hE - puwrI
 mAzgUzgA	 mAzga
 CodZawI	 CodZa
 lotanepotane	 lotanepotane
 rAwo - rAwa	 rAwa - rAwa
 uTAwe	 uTA
 uTAwI	 uTA
 KAMsawe	 KAMsa
 JapatA	 JapatA
 JUmawI	 JUma
 calAie	 calA
 xOdZawA	 xOdZa
 jAnegA	 jAna
 JiJakI	 JiJaka
 milAyA	 milAyA
 nikalawI	 nikala
 Tagakara	 Taga
 bazXAÚ	 bazXA
 JUma - JUmakara	 JUma - JUma
 banAeMge - isalie	 banA - isalie
 mAjZUra	 mAjZUra
 sazBAlA	 sazBAla
 bana	 bana
 calawe - calawe	 cala - cala
 baxalUMgI	 baxala
 sazBAlegA	 sazBAla
 pakAI	 pakAI
 mudZAkara	 mudZA
 BunaBunAkara	 BunaBunA
 pakAe	 pakA
 bulavAkara	 bulavA
 kahA - mAna	 kahA - mAna
 CixAkara	 CixA
 baxa	 baxa
 kiyA - muJe	 kara - mEM
 kahA - mAra	 kahA - mAra
 barasegA	 barasa
 kUxawA	 kUxa
 kahA - jaba	 kahA - jaba
 KarIxA	 KarIxA
 ulatapalata	 ulatapalata
 JAMkawA	 JAMka
 kahA - jA	 kahA - jA
 hazsa - hazsakara	 hazsa - hazsa
 AUzgA	 A
 pUCA - bETane	 pUCa - bETanA
 kAto	 kAta
 kAtI	 kAta
 kAte	 kAtA
 pUCA - vaha	 pUCa - vaha
 hEM - inameM	 hE - yaha
 pukArawe	 pukAra
 Kataka	 Kataka
 sulaga	 sulaga
 mazgAwe	 mazgA
 bolI - rahane	 bolI - raha
 BAdZa	 BAdZa
 xOda	 xOda
 AuzgA	 A
 baDZAyA	 baDZA
 cukAUzgA	 cukA
 sulA	 sulA
 banAke	 banA
 rupayepEse	 rupayepEse
 klArka - hAz	 klArka - hAz
 dAMte	 dAMta
 bolA - wo	 bolA - wo
 socegA	 soca
 pAeMge	 pA
 seMkawA	 seMka
 uwArane	 uwAra
 pUCA - Ora	 pUCa - Ora
 bETAe	 bETA
 bETAI	 bETAI
 gUMjawA	 gUMja
 pAwI	 pAwI
 wAkawe	 wAka
 milanevAlI	 mila
 TaharI	 TaharA
 jowa - bo	 jowa - bo
 paDZAne	 paDZA
 milanevAle	 mila
 Taharo	 Taharo
 nigala	 nigala
 joha	 joha
 pyArA	 pyArA
 banawA	 bana
 pIwe	 pI
 joda	 joda
 jowa	 jowa
 pIwI	 pI
 CodUgA	 Coda
 ragadZA	 ragadZA
 Cipa - Cipa	 Cipa - Cipa
 Gerakara	 Gera
 AwIM - jAwIM	 A - jA
 KilaKilAkara	 KilaKilA
 xOdZAie	 xOdZA
 bajaraMgI - wo	 bajaraMgI - wo
 marUzgA	 mara
 CUtane	 CUta
 bulAyA	 bulA
 jAIba	 jAIba
 kahA - caraKA	 kahA - caraKA
 GabadAnA	 GabadA
 wyAgakara	 wyAga
 tUte	 tUtA
 tUtI	 tUtA
 niBAegA	 niBA
 xewA	 xe
 wadZapakara	 wadZapa
 paka	 paka
 udZane	 udZanA
 lelekara	 lelekara
 kiyA - hama	 kara - mEM
 PElawA	 PEla
 jawAUz	 jawA
 paM	 paM
 padZUMgI	 padZa
 hilAwA	 hilA
 rahawA	 raha
 mAnegA	 mAna
 para	 para
 kiyA - mahanwajI	 kara - mahanwajI
 mArie	 mAra
 pA	 pA
 pada	 pada
 PazsA	 PazsA
 lewI	 le
 lewe	 le
 gujZaregI	 gujZara
 bahawA	 baha
 BEroM - A	 BEroM - A
 bole - ajI	 bola - ajI
 XAdZaka	 XAdZaka
 udAwe	 udA
 Capane	 Capa
 kahalAne	 kahalA
 KulegI	 Kula
 baDZane	 baDZa
 bulAie	 bulA
 bigadZegA	 bigadZa
 CidZako	 CidZaka
 tekawA	 teka
 wOlA	 wOlA
 pakadAOra	 pakadAOra
 xabAyA	 xabA
 KojawA	 Koja
 samaJeM	 samaJa
 KarIxIM	 KarIxa
 xeKie	 xeKa
 KAiegA	 KA
 mitAnA	 mitA
 sIKawA	 sIKa
 kuDZa - kuDZakara	 kuDZa - kuDZa
 xilavA	 xilavA
 karAveMge	 karA
 bolIM	 bola
 TAkuraxIna - mEM	 TAkuraxIna - mEM
 CudZAkara	 CudZA
 nIcA	 nIcA
 batorane	 batora
 pUCA - yaha	 pUCa - yaha
 bazXo	 bazXa
 hatAnA	 hatA
 bazXI	 bazXA
 calUzgI	 cala
 BunAwe	 BunA
 lenA	 le
 xamake	 xamaka
 galI - buJI	 galI - buJA
 pahananA	 pahana
 uCala	 uCala
 xOdZAwA	 xOdZA
 bawAkara	 bawA
 cIra - cIrakara	 cIra - cIra
 lUtawe	 lUta
 pahuMcAyA	 pahuMcA
 pahuzcAne	 pahuzcA
 soe	 so
 WodZI	 WodZA
 GulawI	 Gula
 salIma	 salIma
 KilAne	 KilA
 CodUMgI	 Coda
 soI	 so
 baxalawe	 baxala
 banAwA	 banA
 poMCane	 poMCanA
 samaJA - kisa	 samaJA - kOna
 xiKalAwA	 xiKalA
 kiyA - jiwane	 kara - jiwanA
 ladZanA	 ladZa
 sajAyA	 sajA
 sazBAlawe	 sazBAla
 biCAwe	 biCA
 biCAwI	 biCA
 GudZaka	 GudZaka
 lagAegI	 lagA
 xiKAUM	 xiKA
 lagAUM	 lagA
 lagAUz	 lagA
 cuBA	 cuBA
 cabA	 cabA
 nikAlI	 nikAla
 nikAle	 nikAla
 BUleMge	 BUla
 nikAlo	 nikAla
 pukArakara	 pukAra
 xOdA	 xOdA
 boleMge	 bola
 uwarawe - uwarawe	 uwara - uwara
 karuMgA	 kara
 bolUz	 bola
 bolUM	 bola
 cukAwe	 cukA
 biKarI	 biKarA
 jalI	 jalA
 jale	 jalA
 biKare	 biKarA
 cAhoge	 cAha
 bahalAne	 bahalA
 niBawI	 niBa
 cAhogI	 cAha
 cupakA - cupakA	 cupakA - cupakA
 pilAnA	 pilA
 KelAne	 KelA
 girAnA	 girA
 joheMge	 joha
 giranA	 giranA
 Bare	 BarA
 BarI	 BarA
 mAneM	 mAna
 bonA	 bo
 kahA - isIlie	 kahA - isIlie
 xiKAezge	 xiKA
 jZarA	 jZarA
 JoMkakara	 JoMka
 PuMkI	 PuMka
 pahuzcawI	 pahuzca
 pahuzcawe	 pahuzca
 TikAnA	 TikAnA
 hE - muhabbawa	 hE - muhabbawa
 udZAie	 udZA
 PAMxawA	 PAMxa
 KataKatAyA	 KataKatA
 girAkara	 girA
 cOMke	 cOMkA
 bikane	 bika
 cOMkI	 cOMkA
 jalAyA	 jalA
 BUlawe - BUlawe	 BUla - BUla
 lagA - cipatA	 lagA - cipatA
 lalakArA - KadZe	 lalakAra - KadZA
 KIMcI	 KIMca
 GasIte	 GasIta
 KIMce	 KIMca
 kahawIM	 kaha
 GasIto	 GasIta
 pUCa	 pUCa
 KAwe	 KAwA
 KAwI	 KAwI
 soPZiyA - yaha	 soPZiyA - yaha
 kAtie	 kAta
 wapanA	 wapa
 kiye	 kara
 Awe - jAwe	 A - jA
 Gatane	 Gata
 hE - jisane	 hE - jo
 mAra - pItakara	 mAra - pIta
 EMce	 EMcA
 XamakAwe	 XamakA
 TaharanA	 Tahara
 mArUM	 mAra
 pItane	 pIta
 Kanakane	 Kanaka
 GatI	 GatI
 tI	 tI
 ragadZUz	 ragadZa
 suXArane	 suXAra
 PirawA	 Pira
 cUsanA	 cUsanA
 KisiyA	 KisiyA
 giravAyA	 giravA
 kamAne	 kamA
 sazvArane	 sazvAra
 uTAie	 uTA
 bolI - Taharo - Taharo	 bolI - Taharo - Taharo
 Bune	 BunA
 Canakara	 Cana
 Cedar¡	 Cedar
 bacUMgA	 baca
 lahariyAM	 lahariyAM
 pahazce	 pahazce
 AwI - kaBI	 A - kaBI
 KataKatAne	 KataKatA
 jagAwe	 jagA
 camakA	 camakA
 KAo	 KA
 milo	 mila
 nocakara	 noca
 milI	 milA
 GUmawA	 GUma
 hAzPa	 hAzPa
 mile	 milA
 dOYktara - vE	 dOYktara - vE
 hAzka	 hAzka
 sInA	 sInA
 gZama	 gZama
 pakAwe	 pakA
 pakAwI	 pakA
 patAUMgA	 patA
 xabA	 xabA
 paCawAnA	 paCawA
 BUzkane	 BUzka
 ruka	 ruka
 kawarA	 kawarA
 bETUMgA	 bETa
 xabaka	 xabaka
 lagAeM	 lagA
 cukAnA	 cukA
 bETe - bETe	 bETa - bETa
 tAlo	 tAla
 pele	 pela
 kahogI	 kaha
 jIne	 jInA
 kahoge	 kaha
 kahA - rupaye	 kahA - rupayA
 pIsane	 pIsanA
 pIsanI	 pIsa
 hArawe	 hAra
 PaMsAeMge	 PaMsA
 lAUM	 lA
 lAUz	 lA
 cOMXiÚyA	 cOMXi
 KilAo - pilAo	 KilA - pilA
 Cazte	 CaztA
 katAkara	 katA
 wodZA	 wodZA
 beceM	 beca
 uwaregI	 uwara
 bAgZa	 bAgZa
 bahakAne	 bahakA
 jiUz	 jI
 jiUM	 jI
 sulAeM	 sulA
 KelA	 KelA
 bigadZa	 bigadZa
 bigadA	 bigadA
 KulanA	 Kula
 jZoharA	 jZoharA
 bawAwA	 bawA
 mitAkara	 mitA
 barawawe	 barawa
 kahA - lAo	 kahA - lA
 bolUzgI	 bola
 sulagAkara	 sulagA
 bolacAla	 bolacAla
 cUka	 cUka
 kahA - ammAMjI	 kahA - ammAMjI
 CodeM	 Coda
 PazsAoge	 PazsA
 cAheM	 cAha
 kuDZane	 kuDZa
 tokane	 tokanA
 GUmA	 GUmA
 Upara - hI - Upara	 Upara - hI - Upara
 XakkA - sA	 XakkA - sA
 cUsa	 cUsa
 PaharAwe	 PaharA
 Kasaka	 Kasaka
 cUma	 cUma
 gulAkara	 gulAkara
 sahane	 saha
 Do	 Do
 kahA - basa	 kahA - basa
 ugalane	 ugala
 hoá¢ge	 ho
